2022-12-20 22:12:666 INFO  HomePage :33 - feaching dealer :[[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']]]
2022-12-20 22:12:237 INFO  HomePage :44 - Click on Next Button :[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //span[contains(text(),'Next')]]
2022-12-20 22:12:351 INFO  HomePage :33 - feaching dealer :[[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']]]
2022-12-20 22:12:501 INFO  HomePage :44 - Click on Next Button :[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //span[contains(text(),'Next')]]
2022-12-20 22:12:596 INFO  HomePage :33 - feaching dealer :[[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']]]
2022-12-20 22:12:875 INFO  HomePage :44 - Click on Next Button :[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //span[contains(text(),'Next')]]
2022-12-20 22:12:898 INFO  HomePage :33 - feaching dealer :[[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']]]
2022-12-20 22:12:175 INFO  HomePage :44 - Click on Next Button :[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //span[contains(text(),'Next')]]
2022-12-20 22:12:183 INFO  HomePage :33 - feaching dealer :[[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']]]
2022-12-20 22:12:689 INFO  HomePage :44 - Click on Next Button :[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //span[contains(text(),'Next')]]
